,B4:FB:E4:0B:07:76 (DF SP),18:8B:9D:13:84:D0 (eduroam),18:8B:9D:13:84:D2 (LU),18:8B:9D:13:84:D1 (LU-WIFI),00:25:9C:92:47:95 (DFLAB_GUEST),18:8B:9D:13:85:DF (eduroam),18:8B:9D:13:85:DD (LU),18:8B:9D:13:85:DE (LU-WIFI),18:8B:9D:13:84:D3 (\x00),9A:62:AB:67:28:4B (PhPhPhone),18:8B:9D:13:AC:31 (LU-WIFI),C2:FB:E4:0B:07:76 (),18:8B:9D:13:AC:30 (eduroam),18:8B:9D:03:65:A1 (LU-WIFI),18:8B:9D:03:65:A2 (LU),18:8B:9D:13:AC:32 (LU),18:8B:9D:22:91:F1 (LU-WIFI),B4:FB:E4:0B:07:77 (DF SP),18:8B:9D:03:6F:21 (LU-WIFI),B4:FB:E4:0B:07:75 (DF SP),18:8B:9D:03:6F:20 (eduroam),18:8B:9D:03:65:A0 (eduroam),18:8B:9D:13:85:D1 (LU-WIFI),18:8B:9D:13:85:D2 (LU),18:8B:9D:22:91:F2 (LU),18:8B:9D:22:91:F0 (eduroam),18:8B:9D:13:85:D0 (eduroam),18:8B:9D:22:92:00 (eduroam),18:8B:9D:22:92:01 (LU-WIFI),50:06:04:2B:52:C5 (Devices),50:06:04:2B:52:CA (Devices),BE:FB:E4:0B:07:76 (),18:8B:9D:13:AC:33 (\x00),80:E0:1D:F9:29:40 (eduroam),80:E0:1D:F9:29:42 (LU),80:E0:1D:F9:29:41 (LU-WIFI),FE:76:61:9D:B9:F7 (Alpha),18:8B:9D:13:84:DF (eduroam),18:8B:9D:35:85:20 (eduroam),18:8B:9D:22:91:F3 (\x00),18:8B:9D:03:65:A3 (\x00),18:8B:9D:03:65:AF (eduroam),18:8B:9D:35:BA:12 (LU),18:8B:9D:35:BA:11 (LU-WIFI),18:8B:9D:22:92:0F (eduroam),18:8B:9D:35:BA:1C (\x00),50:06:04:2B:52:CB (LU),50:06:04:2B:52:CD (eduroam),18:8B:9D:22:91:FF (eduroam),80:E0:1D:9C:4A:A2 (LU),18:8B:9D:35:85:22 (LU),18:8B:9D:35:85:21 (LU-WIFI),80:E0:1D:9C:4A:A3 (\x00),80:E0:1D:9C:4A:A0 (eduroam),18:8B:9D:03:94:10 (eduroam),18:8B:9D:35:BA:10 (eduroam),18:8B:9D:35:BA:1E (LU-WIFI),50:06:04:2B:52:CC (LU-WIFI),50:06:04:2B:52:C8 (\x00),18:8B:9D:13:85:DC (\x00),18:8B:9D:13:84:DD (LU),18:8B:9D:2C:63:F1 (LU-WIFI),18:8B:9D:22:92:02 (LU),18:8B:9D:13:85:D3 (\x00),50:06:04:2B:52:C7 (\x00),80:E0:1D:F9:29:43 (\x00),18:8B:9D:03:65:AE (LU-WIFI),18:8B:9D:03:6F:22 (LU),18:8B:9D:03:6F:23 (\x00),18:8B:9D:35:85:23 (\x00),18:8B:9D:2C:63:F2 (LU),50:06:04:2B:52:C2 (eduroam),62:45:B0:B6:AA:2F (),18:8B:9D:03:65:AD (LU),room_index,measurement_index,batch_index,18:8B:9D:22:91:FE (LU-WIFI),80:E0:1D:9C:4A:A1 (LU-WIFI),18:8B:9D:22:91:FD (LU),D4:CA:6D:2D:CF:23 (MikroTik-2DCF23),50:06:04:2B:52:C4 (LU),18:8B:9D:35:BA:1D (LU),18:8B:9D:22:92:0C (\x00),18:8B:9D:13:AC:3E (LU-WIFI),18:8B:9D:13:84:DE (LU-WIFI),18:8B:9D:2C:63:F0 (eduroam),18:8B:9D:03:94:12 (LU)
10,-32,-73,-74,-75,-67,-66,-66,-66,-74,-44,-80,-31,-81,-73,-73,-80,-82,-35,-79,-29,-80,-73,-69,-69,-81,-81,-67,-74,-75,-66,-77,-31,-82,-75,-77,-79,-79,-83,-80,-81,-76,-78,-77,-77,-86,-87,-77,-77,-83,-84,-81,-80,-82,-84,-83,-78,-88,-77,-74,-72,-81,-79,-75,-76,-68,-78,-78,-79,-79,-85,-79,-66,-58,-84,301,2,11,-87,-83,-86,-84,-67,-86,-83,-87,-81,,
11,-23,-72,-71,-71,-60,-71,-70,-71,-73,-44,-79,-23,-79,-67,-68,-78,-80,-31,-79,-28,-80,-67,-66,-67,-79,-79,-66,-77,-76,-66,-76,-23,-79,-76,-77,-77,-77,-83,-80,-81,-76,-78,-77,-78,-86,-85,-77,-77,-83,-83,-79,-79,-82,-84,-83,-80,-88,-77,-74,-72,-81,-79,-76,-76,-68,-78,-78,-79,-78,-80,-79,-66,-60,-84,301,2,12,-87,-83,-86,-84,-67,-86,-83,-87,-81,-80,-83
12,-23,-72,-71,-71,-60,-71,-70,-71,-73,-44,-79,-23,-79,-67,-68,-78,-80,-31,-79,-28,-80,-67,-66,-67,-79,-79,-66,-77,-76,-66,-76,-23,-79,-76,-77,-77,-77,-83,-80,-81,-76,-78,-77,-78,-86,-85,-77,-77,-83,-83,-79,-79,-82,-84,-83,-80,-88,-77,-74,-72,-81,-79,-76,-76,-68,-78,-78,-79,-78,-80,-79,-66,-60,-84,301,2,13,-87,-83,-86,-84,-67,-86,-83,-87,-81,-80,-83
13,-34,-73,-73,-74,-73,-64,-64,-64,-72,-47,-79,-34,-79,-67,-68,-78,-80,-37,-79,-29,-78,-73,-70,-69,-79,-79,-67,-77,-74,-64,-78,-34,-79,-76,-77,-77,-77,-83,-80,-81,-76,-78,-77,-78,-86,-85,-77,-77,-83,-83,-79,-79,-82,-84,-83,-80,-88,-77,-74,-72,-81,-78,-73,-76,-68,-78,-78,-79,-78,-80,-80,-64,-60,-84,301,2,14,-87,-83,-86,-84,-64,-86,-83,-87,-81,-80,-83
14,-34,-73,-73,-74,-73,-64,-64,-64,-72,-47,-79,-34,-79,-67,-68,-78,-80,-37,-79,-29,-78,-73,-70,-69,-79,-79,-67,-77,-74,-64,-78,-34,-79,-76,-77,-77,-77,-83,-80,-81,-76,-78,-77,-78,-86,-85,-77,-77,-83,-83,-79,-79,-82,-84,-83,-80,-88,-77,-74,-72,-81,-78,-73,-76,-68,-78,-78,-79,-78,-80,-80,-64,-60,-84,301,2,15,-87,-83,-86,-84,-64,-86,-83,-87,-81,-80,-83
15,-34,-73,-73,-74,-73,-64,-64,-64,-72,-47,-79,-34,-79,-67,-68,-78,-80,-37,-79,-29,-78,-73,-70,-69,-79,-79,-67,-77,-74,-64,-78,-34,-79,-76,-77,-77,-77,-83,-80,-81,-76,-78,-77,-78,-86,-85,-77,-77,-83,-83,-79,-79,-82,-84,-83,-80,-88,-77,-74,-72,-81,-78,-73,-76,-68,-78,-78,-79,-78,-80,-80,-64,-60,-84,301,2,16,-87,-83,-86,-84,-64,-86,-83,-87,-81,-80,-83
16,-34,-73,-73,-74,-73,-64,-64,-64,-72,-47,-79,-34,-79,-67,-68,-78,-80,-37,-79,-29,-78,-73,-70,-69,-79,-79,-67,-77,-74,-64,-78,-34,-79,-76,-77,-77,-77,-83,-80,-81,-76,-78,-77,-78,,-85,-77,-77,-83,-83,-79,-79,-82,-84,-83,-80,-88,-77,-74,-72,-81,-78,-73,-76,-68,-78,-78,-79,-78,-80,-80,-64,-60,-84,301,2,17,-87,-83,-86,-84,-64,-86,-83,-87,-81,-80,-83
17,-34,-73,-73,-74,-73,-64,-64,-64,-72,-47,-79,-34,-79,-67,-68,-78,-80,-37,-79,-29,-78,-73,-70,-69,-79,-79,-67,-77,-74,-64,-78,-34,-79,-76,-77,-77,-77,-83,-80,-81,-76,-78,-77,-78,,-85,-77,-77,-83,-83,-79,-79,-82,-84,-83,-80,-88,-77,-74,-72,-81,-78,-73,-76,-68,-78,-78,-79,-78,-80,-80,-64,-60,-84,301,2,18,-87,-83,-86,-84,-64,-86,-83,-87,-81,-80,-83
18,-34,-73,-73,-74,-73,-64,-64,-64,-72,-47,-79,-34,-79,-67,-68,-78,-80,-37,-79,-29,-78,-73,-70,-69,-79,-79,-67,-77,-74,-64,-78,-34,-79,-76,-77,-77,-77,-83,-80,-81,-76,-78,-77,-78,,-85,-77,-77,-83,-83,-79,-79,-82,-84,-83,-80,-88,-77,-74,-72,-81,-78,-73,-76,-68,-78,-78,-79,-78,-80,-80,-64,-60,-84,301,2,19,-87,-83,-86,-84,-64,-86,-83,-87,-81,-80,-83
19,-34,-73,-73,-74,-73,-64,-64,-64,-72,-47,-79,-34,-79,-67,-68,-78,-80,-37,-79,-29,-78,-73,-70,-69,-79,-79,-67,-77,-74,-64,-78,-34,-79,-76,-77,-77,-77,,-80,-81,-76,-78,-77,-78,,-85,-77,-77,-83,-83,-79,-79,-82,-84,-83,-80,-88,-77,-74,-72,-81,-78,-73,-76,-68,-78,-78,-79,-78,-80,-80,-64,-60,-84,301,2,20,-87,-83,-86,-84,-64,-86,-83,-87,-81,-80,-83
