,B4:FB:E4:0B:07:76 (DF SP),18:8B:9D:13:84:D0 (eduroam),18:8B:9D:13:84:D2 (LU),18:8B:9D:13:84:D1 (LU-WIFI),00:25:9C:92:47:95 (DFLAB_GUEST),18:8B:9D:13:84:D3 (\x00),C2:FB:E4:0B:07:76 (),BE:FB:E4:0B:07:76 (),18:8B:9D:35:85:22 (LU),18:8B:9D:35:85:21 (LU-WIFI),18:8B:9D:35:85:20 (eduroam),18:8B:9D:03:94:10 (eduroam),18:8B:9D:13:84:DE (LU-WIFI),54:A6:19:9A:FB:A8 (ALHN-D5AB),18:8B:9D:03:94:12 (LU),18:8B:9D:03:94:11 (LU-WIFI),18:8B:9D:35:BA:1D (LU),18:8B:9D:13:84:DF (eduroam),18:8B:9D:13:84:DD (LU),18:8B:9D:35:BA:11 (LU-WIFI),18:8B:9D:2C:63:F1 (LU-WIFI),18:8B:9D:35:BA:1F (eduroam),18:8B:9D:35:BA:1E (LU-WIFI),18:8B:9D:2C:63:F0 (eduroam),18:8B:9D:35:BA:AD (LU),18:8B:9D:2C:63:FF (eduroam),18:8B:9D:2C:63:FD (LU),18:8B:9D:2C:63:FE (LU-WIFI),18:8B:9D:35:BA:AF (eduroam),C4:93:00:10:EA:75 (Aranet-DiLab1),18:8B:9D:13:99:12 (LU),18:8B:9D:13:99:10 (eduroam),18:8B:9D:35:BA:AE (LU-WIFI),18:8B:9D:13:99:11 (LU-WIFI),18:8B:9D:35:BA:A0 (eduroam),18:8B:9D:35:BA:A1 (LU-WIFI),50:C7:BF:17:13:93 (DiLabB),18:8B:9D:35:BA:10 (eduroam),18:8B:9D:35:BA:A2 (LU),18:8B:9D:35:85:23 (\x00),18:8B:9D:03:9A:11 (LU-WIFI),80:E0:1D:F9:29:41 (LU-WIFI),18:8B:9D:03:94:13 (\x00),18:8B:9D:35:BA:A3 (\x00),80:E0:1D:F9:29:40 (eduroam),18:8B:9D:35:BA:1C (\x00),80:E0:1D:F9:29:42 (LU),18:8B:9D:13:B9:42 (LU),18:8B:9D:35:7D:F0 (eduroam),18:8B:9D:03:94:1E (LU-WIFI),18:8B:9D:13:B9:22 (LU),9A:62:AB:67:28:4B (PhPhPhone),B4:FB:E4:0B:07:75 (DF SP),18:8B:9D:13:B9:41 (LU-WIFI),18:8B:9D:35:7D:F1 (LU-WIFI),B4:FB:E4:0B:07:77 (DF SP),18:8B:9D:35:85:2D (LU),18:8B:9D:35:85:2E (LU-WIFI),18:8B:9D:35:7D:FE (LU-WIFI),50:06:04:2B:52:CD (eduroam),50:06:04:2B:52:CA (Devices),80:E0:1D:F9:29:4E (LU-WIFI),50:06:04:2B:52:C5 (Devices),18:8B:9D:35:85:2C (\x00),80:E0:1D:9C:4A:A1 (LU-WIFI),80:E0:1D:9C:4A:A3 (\x00),80:E0:1D:9C:4A:A0 (eduroam),18:8B:9D:03:9A:12 (LU),18:8B:9D:03:97:40 (eduroam),50:06:04:2B:52:C3 (LU-WIFI),18:8B:9D:35:BA:12 (LU),18:8B:9D:03:99:E1 (LU-WIFI),70:6B:B9:98:9C:C0 (eduroam),80:E0:1D:9C:45:B0 (eduroam),18:8B:9D:03:99:E2 (LU),18:8B:9D:35:7D:FC (\x00),18:8B:9D:35:7D:FF (eduroam),18:8B:9D:35:7D:FD (LU),80:E0:1D:F9:29:4C (\x00),18:8B:9D:13:B9:4E (LU-WIFI),18:8B:9D:03:9A:1E (LU-WIFI),18:8B:9D:03:94:1D (LU),18:8B:9D:03:94:1F (eduroam),room_index,measurement_index,batch_index,18:8B:9D:2C:63:F2 (LU),18:8B:9D:13:B9:43 (\x00),22:83:2E:94:6A:B5 (ADNT_Home),18:8B:9D:35:7D:F2 (LU),18:8B:9D:13:85:D1 (LU-WIFI),50:06:04:2B:52:C2 (eduroam),18:8B:9D:13:85:DD (LU),18:8B:9D:13:84:DC (\x00),18:8B:9D:03:9A:03 (\x00),18:8B:9D:13:B7:D1 (LU-WIFI),18:8B:9D:2C:63:F3 (\x00),18:8B:9D:03:9A:13 (\x00),18:8B:9D:03:99:E0 (eduroam),80:E0:1D:F9:29:43 (\x00),80:E0:1D:F9:29:4F (eduroam),80:E0:1D:F9:29:4D (LU),18:8B:9D:2C:63:FC (\x00),18:8B:9D:03:9A:1F (eduroam),80:E0:1D:9C:4A:AC (\x00),18:8B:9D:35:BA:AC (\x00),18:8B:9D:03:94:1C (\x00),80:E0:1D:9C:4A:A2 (LU),18:8B:9D:03:9A:1D (LU)
10,-63,-27,-27,-27,-59,-28,-63,-63,-64,-64,-64,-65,-25,,-76,-66,-67,-24,-24,-56,-62,-67,-67,-63,-75,-65,-65,-66,,-77,-82,-83,-84,-82,-70,-75,-73,-57,-70,-64,-68,-71,,,-65,-67,-66,-75,-69,-80,,-84,-75,-75,-68,-74,-82,-81,-84,,-81,-80,-75,-82,-83,-81,-82,-67,-84,-77,-56,-76,-85,-82,-77,-84,-85,-84,-86,-86,-77,-81,-80,304,2,11,-62,-78,-82,-68,-84,-76,-88,-28,-83,-88,-62,-70,-76,-70,-79,-80,-65,-76,-80,-74,-80,,
11,-63,-27,-27,-27,-59,-28,-63,-63,-64,-64,-64,-65,-25,,-76,-66,-67,-24,-24,-56,-62,-67,-67,-63,-75,-65,-65,-66,,-77,-82,-83,-84,-82,-70,-75,-73,-57,-70,-64,-68,-71,,,-65,-67,-66,-75,-69,-80,,-84,-75,-75,-68,-74,-82,-81,-84,,-81,-80,-75,-82,-83,-81,-82,-67,-84,-77,-56,-76,-85,-82,-77,-84,-85,-84,-86,-86,-77,-81,-80,304,2,12,-62,-78,-82,-68,-84,-76,-88,-28,-83,-88,-62,-70,-76,-70,-79,-80,-65,-76,-80,-74,-80,,
12,-63,-27,-27,-27,-59,-28,-63,-63,-64,-64,-64,-65,-25,,-76,-66,-67,-24,-24,-56,-62,-67,-67,-63,-75,-65,-65,-66,,-77,-82,-83,-84,-82,-70,-75,-73,-57,-70,-64,-68,-71,,,-65,-67,-66,-75,-69,-80,,-84,-75,-75,-68,-74,-82,-81,-84,,-81,-80,-75,-82,-83,-81,-82,-67,-84,-77,-56,-76,-85,-82,-77,-84,-85,-84,-86,-86,-77,-81,-80,304,2,13,-62,-78,-82,-68,-84,-76,-88,-28,-83,-88,-62,-70,-76,-70,-79,-80,-65,-76,-80,-74,-80,,
13,-63,-27,-27,-27,-59,-28,-63,-63,-64,-64,-64,-65,-25,,-76,-66,-67,-24,-24,-56,-62,-67,-67,-63,-75,-65,-65,-66,,-77,-82,-83,-84,-82,-70,-75,-73,-57,-70,-64,-68,-71,,,-65,-67,-66,-75,-69,-80,,-84,-75,-75,-68,-74,-82,-81,-84,,-81,-80,-75,-82,-83,-81,-82,-67,-84,-77,-56,-76,-85,-82,-77,-84,-85,-84,-86,-86,-77,-81,-80,304,2,14,-62,-78,-82,-68,-84,-76,-88,-28,-83,-88,-62,-70,-76,-70,-79,-80,-65,-76,-80,-74,-80,,
14,-63,-27,-27,-27,-59,-28,-63,-63,-64,-64,-64,-65,-25,,-76,-66,-67,-24,-24,-56,-62,-67,-67,-63,-75,-65,-65,-66,,-77,-82,-83,-84,-82,-70,-75,-73,-57,-70,-64,-68,-71,,,-65,-67,-66,-75,-69,-80,,-84,-75,-75,-68,-74,-82,-81,-84,,-81,-80,-75,-82,-83,-81,-82,-67,-84,-77,-56,-76,-85,-82,-77,-84,-85,-84,-86,-86,-77,-81,-80,304,2,15,-62,-78,-82,-68,-84,-76,-88,-28,-83,-88,-62,-70,-76,-70,-79,-80,-65,-76,-80,-74,-80,,
15,-63,-27,-27,-27,-59,-28,-63,-63,-64,-64,-64,-65,-25,,-76,-66,-67,-24,-24,-56,-62,-67,-67,-63,-75,-65,-65,-66,,-77,-82,-83,-84,-82,-70,-75,-73,-57,-70,-64,-68,-71,,,-65,-67,-66,-75,-69,-80,,-84,-75,-75,-68,-74,-82,-81,-84,,-81,-80,-75,-82,-83,-81,-82,-67,-84,-77,-56,-76,-85,-82,-77,-84,-85,-84,-86,-86,-77,-81,-80,304,2,16,-62,-78,-82,-68,-84,-76,-88,-28,-83,-88,-62,-70,-76,-70,-79,-80,-65,-76,-80,-74,-80,,
16,-63,-27,-27,-27,-59,-28,-63,-63,-64,-64,-64,-65,-25,,-76,-66,-67,-24,-24,-56,-62,-67,-67,-63,-75,-65,-65,-66,,-77,-82,-83,-84,-82,-70,-75,-73,-57,-70,-64,-68,-71,,,-65,-67,-66,-75,-69,-80,,-84,-75,-75,-68,-74,-82,-81,-84,,-81,-80,-75,-82,-83,-81,-82,-67,-84,-77,-56,-76,-85,-82,-77,-84,-85,-84,-86,-86,-77,-81,-80,304,2,17,-62,-78,-82,-68,-84,-76,-88,-28,-83,-88,-62,-70,-76,-70,-79,-80,-65,-76,-80,-74,-80,,
17,-63,-27,-27,-27,-59,-28,-63,-63,-64,-64,-64,-65,-25,,-76,-66,-67,-24,-24,-56,-62,-67,-67,-63,-75,-65,-65,-66,,-77,-82,-83,-84,-82,-70,-75,-73,-57,-70,-64,-68,-71,,,-65,-67,-66,-75,-69,-80,,-84,-75,-75,-68,-74,-82,-81,-84,,-81,-80,-75,-82,-83,-81,-82,-67,-84,-77,-56,-76,-85,-82,-77,-84,-85,-84,-86,-86,-77,-81,-80,304,2,18,-62,-78,-82,-68,-84,-76,-88,-28,-83,-88,-62,-70,-76,-70,-79,-80,-65,-76,-80,-74,-80,,
18,-63,-27,-27,-27,-59,-28,-63,-63,-64,-64,-64,-65,-25,,-76,-66,-67,-24,-24,-56,-62,-67,-67,-63,-75,-65,-65,-66,,-77,-82,-83,-84,-82,-70,-75,-73,-57,-70,-64,-68,-71,,,-65,-67,-66,-75,-69,-80,,-84,-75,-75,-68,-74,-82,-81,-84,,-81,-80,-75,-82,-83,-81,-82,-67,-84,-77,-56,-76,-85,-82,-77,-84,-85,-84,-86,-86,-77,-81,-80,304,2,19,-62,-78,-82,-68,-84,-76,-88,-28,-83,-88,-62,-70,-76,-70,-79,-80,-65,-76,-80,-74,-80,,
19,-63,-27,-27,-27,-59,-28,-63,-63,-64,-64,-64,-65,-25,,-76,-66,-67,-24,-24,-56,-62,-67,-67,-63,-75,-65,-65,-66,,-77,-82,-83,-84,-82,-70,-75,-73,-57,-70,-64,-68,-71,,,-65,-67,-66,-75,-69,-80,,-84,-75,-75,-68,-74,-82,-81,-84,,-81,-80,-75,-82,-83,-81,-82,-67,-84,-77,-56,-76,-85,-82,-77,-84,-85,-84,-86,-86,-77,-81,-80,304,2,20,-62,-78,-82,-68,-84,-76,-88,-28,-83,-88,-62,-70,-76,-70,-79,-80,-65,-76,-80,-74,-80,,
20,-63,-27,-27,-27,-59,-28,-63,-63,-64,-64,-64,-65,-25,,-76,-66,-67,-24,-24,-56,-62,-67,-67,-63,-75,-65,-65,-66,,-77,-82,-83,-84,-82,-70,-75,-73,-57,-70,-64,-68,-71,,,-65,-67,-66,-75,-69,-80,,-84,-75,-75,-68,-74,-82,-81,-84,,-81,-80,-75,-82,-83,-81,-82,-67,-84,-77,-56,-76,-85,-82,-77,-84,-85,-84,-86,-86,-77,-81,-80,304,2,21,-62,-78,-82,-68,-84,-76,-88,-28,-83,-88,-62,-70,-76,-70,-79,-80,-65,-76,-80,-74,-80,,
21,-63,-27,-27,-27,-59,-28,-63,-63,-64,-64,-64,-65,-25,,-76,-66,-67,-24,-24,-56,-62,-67,-67,-63,-75,-65,-65,-66,,-77,-82,-83,-84,-82,-70,-75,-73,-57,-70,-64,-68,-71,,,-65,-67,-66,-75,-69,-80,,-84,-75,-75,-68,-74,-82,-81,-84,,-81,-80,-75,-82,-83,-81,-82,-67,-84,-77,-56,-76,-85,-82,-77,-84,-85,-84,-86,-86,-77,-81,-80,304,2,22,-62,-78,-82,-68,-84,-76,-88,-28,-83,-88,-62,-70,-76,-70,-79,-80,-65,-76,-80,-74,-80,,
22,-63,-27,-27,-27,-59,-28,-63,-63,-64,-64,-64,-65,-25,,-76,-66,-67,-24,-24,-56,-62,-67,-67,-63,-75,-65,-65,-66,,-77,-82,-83,-84,-82,-70,-75,-73,-57,-70,-64,-68,-71,,,-65,-67,-66,-75,-69,-80,,-84,-75,-75,-68,-74,-82,-81,-84,,-81,-80,-75,-82,-83,-81,-82,-67,-84,-77,-56,-76,-85,-82,-77,-84,-85,-84,-86,-86,-77,-81,-80,304,2,23,-62,-78,-82,-68,-84,-76,-88,-28,-83,-88,-62,-70,-76,-70,-79,-80,-65,-76,-80,-74,-80,,
23,-61,-35,-35,-35,-64,-35,-63,-62,-64,-63,-63,-65,-31,-86,-76,-64,-66,-29,-29,-56,-62,-65,-66,-60,-75,-69,-70,-70,-81,-82,-82,-84,-84,-82,-70,-75,-80,-57,-70,-64,-81,-71,,,-62,-67,-63,-75,-69,-81,,-85,-75,-80,-69,-74,-82,-82,-84,,-87,-80,-75,-82,-83,-81,-82,-82,-84,-77,-64,-80,-85,-82,-79,-84,-85,-84,-86,-86,-77,-81,-82,304,2,24,-58,-79,-79,-69,-84,-76,-88,-28,-83,-88,-62,-70,-76,-70,-79,-80,-65,-76,-80,-74,-80,-86,-85
24,-61,-35,-35,-35,-64,-35,-63,-62,-64,-63,-63,-65,-31,-86,-76,-64,-66,-29,-29,-56,-62,-65,-66,-60,-75,-69,-70,-70,-81,-82,-82,-84,-84,-82,-70,-75,-80,-57,-70,-64,-81,-71,,,-62,-67,-63,-75,-69,-81,,-85,-75,-80,-69,-74,-82,-82,-84,,-87,-80,-75,-82,-83,-81,-82,-82,-84,-77,-64,-80,-85,-82,-79,-84,-85,-84,-86,-86,-77,-81,-82,304,2,25,-58,-79,-79,-69,-84,-76,-88,-28,-83,-88,-62,-70,-76,-70,-79,-80,-65,-76,-80,-74,-80,-86,-85
25,-61,-35,-35,-35,-64,-35,-63,-62,-64,-63,-63,-65,-31,-86,-76,-64,-66,-29,-29,-56,-62,-65,-66,-60,-75,-69,-70,-70,-81,-82,-82,-84,-84,-82,-70,-75,-80,-57,-70,-64,-81,-71,,,-62,-67,-63,-75,-69,-81,,-85,-75,-80,-69,-74,-82,-82,-84,,-87,-80,-75,-82,-83,-81,-82,-82,-84,-77,-64,-80,-85,-82,-79,-84,-85,-84,-86,-86,-77,-81,-82,304,2,26,-58,-79,-79,-69,-84,-76,-88,-28,-83,-88,-62,-70,-76,-70,-79,-80,-65,-76,-80,-74,-80,-86,-85
26,-61,-35,-35,-35,-64,-35,-63,-62,-64,-63,-63,-65,-31,-86,-76,-64,-66,-29,-29,-56,-62,-65,-66,-60,-75,-69,-70,-70,-81,-82,-82,-84,-84,-82,-70,-75,-80,-57,-70,-64,-81,-71,,,-62,-67,-63,-75,-69,-81,,-85,-75,-80,-69,-74,-82,-82,-84,,-87,-80,-75,-82,-83,-81,-82,-82,-84,-77,-64,-80,-85,-82,-79,-84,-85,-84,-86,-86,-77,-81,-82,304,2,27,-58,-79,-79,-69,-84,-76,-88,-28,-83,-88,-62,-70,-76,-70,-79,-80,-65,-76,-80,-74,-80,-86,-85
27,-61,-35,-35,-35,-64,-35,-63,-62,-64,-63,-63,-65,-31,-86,-76,-64,-66,-29,-29,-56,-62,-65,-66,-60,-75,-69,-70,-70,-81,-82,-82,-84,-84,-82,-70,-75,-80,-57,-70,-64,-81,-71,,,-62,-67,-63,-75,-69,-81,,-85,-75,-80,-69,-74,-82,-82,-84,,-87,-80,-75,-82,-83,-81,-82,-82,-84,-77,-64,-80,-85,-82,-79,-84,-85,-84,-86,-86,-77,-81,-82,304,2,28,-58,-79,-79,-69,-84,-76,-88,-28,-83,-88,-62,-70,-76,-70,-79,-80,-65,-76,-80,-74,-80,-86,-85
28,-61,-35,-35,-35,-64,-35,-63,-62,-64,-63,-63,-65,-31,-86,-76,-64,-66,-29,-29,-56,-62,-65,-66,-60,-75,-69,-70,-70,-81,-82,-82,-84,-84,-82,-70,-75,-80,-57,-70,-64,-81,-71,,,-62,-67,-63,-75,-69,-81,,-85,-75,-80,-69,-74,-82,-82,-84,,-87,-80,-75,-82,-83,-81,-82,-82,-84,-77,-64,-80,-85,-82,-79,-84,-85,-84,-86,-86,-77,-81,-82,304,2,29,-58,-79,-79,-69,-84,-76,-88,-28,-83,-88,-62,-70,-76,-70,-79,-80,-65,-76,-80,-74,-80,-86,-85
29,-61,-35,-35,-35,-64,-35,-63,-62,-64,-63,-63,-65,-31,-86,-76,-64,-66,-29,-29,-56,-62,-65,-66,-60,-75,-69,-70,-70,-81,-82,-82,-84,-84,-82,-70,-75,-80,-57,-70,-64,-81,-71,,,-62,-67,-63,-75,-69,-81,,-85,-75,-80,-69,-74,-82,-82,-84,,-87,-80,-75,-82,-83,-81,-82,-82,-84,-77,-64,-80,-85,-82,-79,-84,-85,-84,-86,-86,-77,-81,-82,304,2,30,-58,-79,-79,-69,-84,-76,-88,-28,-83,-88,-62,-70,-76,-70,-79,-80,-65,-76,-80,-74,-80,-86,-85
