,B4:FB:E4:0B:07:76 (DF SP),18:8B:9D:13:84:D0 (eduroam),18:8B:9D:13:84:D2 (LU),18:8B:9D:13:84:D1 (LU-WIFI),00:25:9C:92:47:95 (DFLAB_GUEST),18:8B:9D:13:84:D3 (\x00),C2:FB:E4:0B:07:76 (),BE:FB:E4:0B:07:76 (),18:8B:9D:35:85:22 (LU),18:8B:9D:35:85:21 (LU-WIFI),18:8B:9D:35:85:20 (eduroam),18:8B:9D:03:94:10 (eduroam),18:8B:9D:13:84:DE (LU-WIFI),54:A6:19:9A:FB:A8 (ALHN-D5AB),18:8B:9D:03:94:12 (LU),18:8B:9D:03:94:11 (LU-WIFI),18:8B:9D:35:BA:1D (LU),18:8B:9D:13:84:DF (eduroam),18:8B:9D:13:84:DD (LU),18:8B:9D:35:BA:11 (LU-WIFI),18:8B:9D:2C:63:F1 (LU-WIFI),18:8B:9D:35:BA:1F (eduroam),18:8B:9D:35:BA:1E (LU-WIFI),18:8B:9D:2C:63:F0 (eduroam),18:8B:9D:35:BA:AD (LU),18:8B:9D:2C:63:F2 (LU),18:8B:9D:2C:63:FF (eduroam),18:8B:9D:2C:63:FD (LU),18:8B:9D:2C:63:FE (LU-WIFI),18:8B:9D:35:BA:AF (eduroam),C4:93:00:10:EA:75 (Aranet-DiLab1),18:8B:9D:13:99:12 (LU),18:8B:9D:13:99:10 (eduroam),18:8B:9D:35:BA:AE (LU-WIFI),18:8B:9D:13:99:11 (LU-WIFI),18:8B:9D:35:BA:A0 (eduroam),18:8B:9D:35:BA:A1 (LU-WIFI),50:C7:BF:17:13:93 (DiLabB),22:83:2E:94:6A:B5 (ADNT_Home),18:8B:9D:35:BA:10 (eduroam),18:8B:9D:35:BA:A2 (LU),18:8B:9D:35:85:23 (\x00),18:8B:9D:13:99:13 (\x00),18:8B:9D:35:BA:12 (LU),74:A2:E6:F5:02:A1 (LU-WIFI),18:8B:9D:03:9A:11 (LU-WIFI),18:8B:9D:2C:63:F3 (\x00),18:8B:9D:35:BA:A3 (\x00),80:E0:1D:F9:29:41 (LU-WIFI),18:8B:9D:13:99:1C (\x00),74:A2:E6:F5:02:A2 (LU),DC:2C:6E:F6:B2:6A (LMT-2GHz-B265),18:8B:9D:35:85:2E (LU-WIFI),82:CC:31:A7:5E:BF (B535_5EA7),18:8B:9D:03:9A:10 (eduroam),18:8B:9D:03:9A:12 (LU),74:A2:E6:F5:02:A3 (\x00),18:8B:9D:35:85:2F (eduroam),18:8B:9D:35:85:2D (LU),B4:FB:E4:0B:07:75 (DF SP),BE:FB:E4:0B:07:75 (),DC:2C:6E:F6:B2:6B (LMT-5GHz-B265),80:E0:1D:9C:4A:A3 (\x00),80:E0:1D:9C:4A:A0 (eduroam),9A:62:AB:67:28:4B (PhPhPhone),18:8B:9D:2C:63:FC (\x00),18:8B:9D:35:BA:AC (\x00),C2:FB:E4:0B:07:75 (),40:33:06:4C:DD:DF (ALHN-4215),18:8B:9D:35:7D:F2 (LU),18:8B:9D:13:99:1E (LU-WIFI),06:1E:04:9A:40:10 (AndroidAP),18:8B:9D:13:B9:43 (\x00),18:8B:9D:13:B9:41 (LU-WIFI),18:8B:9D:13:B9:40 (eduroam),BC:25:E0:8B:F3:3A (SANTI),18:8B:9D:35:7D:F0 (eduroam),80:E0:1D:F9:29:40 (eduroam),22:83:2E:94:6A:B9 (ADNT_Home),22:83:2E:94:6A:BD (ADNT_Home_5G),18:8B:9D:13:99:1F (eduroam),18:8B:9D:35:BA:1C (\x00),room_index,measurement_index,batch_index,18:8B:9D:03:94:13 (\x00),18:8B:9D:35:7D:F1 (LU-WIFI),42:33:06:4C:DD:DF (),18:8B:9D:35:BA:13 (\x00),B4:FB:E4:0B:07:77 (DF SP),18:8B:9D:03:9A:1D (LU),18:8B:9D:13:B9:21 (LU-WIFI),80:E0:1D:F9:29:42 (LU),18:8B:9D:03:7A:50 (eduroam),18:8B:9D:03:9A:1F (eduroam),18:8B:9D:35:7D:F3 (\x00)
10,-67,-61,-61,-61,-83,-61,-67,-68,-77,-77,-76,-71,-68,-79,-72,-71,-74,-68,-67,-63,-27,-74,-74,-27,-58,-27,-34,-35,-34,-58,-85,-74,-71,-59,-72,-50,-49,-78,-79,-64,-49,-77,-71,-63,-79,-84,-50,-46,-80,-86,-79,-87,-83,,,-85,,-82,-82,-82,-82,-79,-82,-83,-79,-45,-56,-81,-84,-78,-85,-87,-84,-85,-87,-81,-78,-80,-84,-84,-81,-78,305,2,11,-71,-78,-85,-65,-80,-88,-85,-81,-86,-84,
11,-67,-61,-61,-61,-83,-61,-67,-68,-77,-77,-76,-71,-68,-79,-72,-71,-74,-68,-67,-63,-27,-74,-74,-27,-58,-27,-34,-35,-34,-58,-85,-74,-71,-59,-72,-50,-49,-78,-79,-64,-49,-77,-71,-63,-79,-84,-50,-46,-80,-86,-79,-87,-83,,,-85,,-82,-82,-82,-82,-79,-82,-83,-79,-45,-56,-81,-84,-78,-85,-87,-84,-85,-87,-81,-78,-80,-84,-84,-81,-78,305,2,12,-71,-78,-85,-65,-80,-88,-85,-81,-86,-84,
12,-66,-65,-65,-65,-71,-65,-68,-66,-75,-75,-76,-70,-66,-81,-70,-70,-73,-66,-65,-64,-33,-73,-74,-33,-56,-33,-37,-37,-37,-56,-83,-74,-75,-56,-74,-44,-44,-78,-66,-64,-49,-77,-71,-64,-79,-84,,-46,-80,-86,-79,-87,-83,,,-85,,-82,-82,-82,-82,-79,-82,-83,-81,-45,-56,-81,-84,-78,-85,-87,-84,-85,-87,-81,-78,-80,-84,-84,-81,-78,305,2,13,-71,-78,-85,-65,-80,-88,-85,-81,-86,-84,
13,-66,-65,-65,-65,-71,-65,-68,-66,-75,-75,-76,-70,-66,-81,-70,-70,-73,-66,-65,-64,-33,-73,-74,-33,-56,-33,-37,-37,-37,-56,-83,-74,-75,-56,-74,-44,-44,-78,-66,-64,-49,-77,-71,-64,-79,-84,,-46,-80,-86,-79,-87,-83,,,-85,,-82,-82,-82,-82,-79,-82,-83,-81,-45,-56,-81,-84,-78,-85,-87,-84,-85,-87,-81,-78,-80,-84,-84,-81,-78,305,2,14,-71,-78,-85,-65,-80,-88,-85,-81,-86,-84,
14,-66,-65,-65,-65,-71,-65,-68,-66,-75,-75,-76,-70,-66,-81,-70,-70,-73,-66,-65,-64,-33,-73,-74,-33,-56,-33,-37,-37,-37,-56,-83,-74,-75,-56,-74,-44,-44,-78,-66,-64,-49,-77,-71,-64,-79,-84,,-46,-80,-86,-79,-87,-83,,,-85,,-82,-82,-82,-82,-79,-82,-83,-81,-45,-56,-81,-84,-78,-85,-87,-84,-85,-87,-81,-78,-80,-84,-84,-81,-78,305,2,15,-71,-78,-85,-65,-80,-88,-85,-81,-86,-84,
15,-74,-64,-64,-64,-68,-64,-76,-75,-76,-77,-77,-74,-63,-81,-70,-70,-74,-64,-63,-60,-25,-74,-74,-25,-56,-25,-37,-37,-37,-56,-83,-79,-75,-56,-78,-48,-48,-78,-75,-64,-48,-76,-71,-60,-79,-84,-25,-46,-78,-86,-79,-87,,,,-85,,,,-82,-82,-80,,,-85,,-56,-81,-84,-78,-79,-87,-84,-85,-87,-81,-78,-80,-83,-83,-81,-78,305,2,16,-71,-78,-85,-60,-80,-88,-85,-80,-86,-84,-78
16,-74,-64,-64,-64,-68,-64,-76,-75,-76,-77,-77,-74,-63,-81,-70,-70,-74,-64,-63,-60,-25,-74,-74,-25,-56,-25,-37,-37,-37,-56,-83,-79,-75,-56,-78,-48,-48,-78,-75,-64,-48,-76,-71,-60,-79,-84,-25,-46,-78,-86,-79,-87,,,,-85,,,,-82,-82,-80,,,-85,,-56,-81,-84,-78,-79,-87,-84,-85,-87,-81,-78,-80,-83,-83,-81,-78,305,2,17,-71,-78,-85,-60,-80,-88,-85,-80,-86,-84,-78
17,-74,-64,-64,-64,-68,-64,-76,-75,-76,-77,-77,-74,-63,-81,-70,-70,-74,-64,-63,-60,-25,-74,-74,-25,-56,-25,-37,-37,-37,-56,-83,-79,-75,-56,-78,-48,-48,-78,-75,-64,-48,-76,-71,-60,-79,-84,-25,-46,-78,-86,-79,-87,,,,-85,,,,-82,-82,-80,,,-85,,-56,-81,-84,-78,-79,-87,-84,-85,-87,-81,-78,-80,-83,-83,-81,-78,305,2,18,-71,-78,-85,-60,-80,-88,-85,-80,-86,-84,-78
18,-74,-64,-64,-64,-68,-64,-76,-75,-76,-77,-77,-74,-63,-81,-70,-70,-74,-64,-63,-60,-25,-74,-74,-25,-56,-25,-37,-37,-37,-56,-83,-79,-75,-56,-78,-48,-48,-78,-75,-64,-48,-76,-71,-60,-79,-84,-25,-46,-78,-86,-79,-87,,,,-85,,,,-82,-82,-80,,,-85,,-56,-81,-84,-78,-79,-87,-84,-85,-87,-81,-78,-80,-83,-83,-81,-78,305,2,19,-71,-78,-85,-60,-80,-88,-85,-80,-86,-84,-78
19,-74,-64,-64,-64,-68,-64,-76,-75,-76,-77,-77,-74,-63,-81,-70,-70,-74,-64,-63,-60,-25,-74,-74,-25,-56,-25,-37,-37,-37,-56,-83,-79,-75,-56,-78,-48,-48,-78,-75,-64,-48,-76,-71,-60,-79,-84,-25,-46,-78,-86,-79,-87,,,,-85,,,,-82,-82,-80,,,-85,,-56,-81,-84,-78,-79,-87,-84,-85,-87,-81,-78,-80,-83,-83,-81,-78,305,2,20,-71,-78,-85,-60,-80,-88,-85,-80,-86,-84,-78
20,-74,-64,-64,-64,-68,-64,-76,-75,-76,-77,-77,-74,-63,-81,-70,-70,-74,-64,-63,-60,-25,-74,-74,-25,-56,-25,-37,-37,-37,-56,-83,-79,-75,-56,-78,-48,-48,-78,-75,-64,-48,-76,-71,-60,-79,-84,-25,-46,-78,-86,-79,-87,,,,-85,,,,-82,-82,-80,,,-85,,-56,-81,-84,-78,-79,-87,-84,-85,-87,-81,-78,-80,-83,-83,-81,-78,305,2,21,-71,-78,-85,-60,-80,-88,-85,-80,-86,-84,-78
21,-67,-63,-63,-63,-71,-62,-67,-67,-75,-74,-75,-74,-64,-81,-70,-70,-75,-64,-64,-63,-33,-75,-74,-33,-54,-33,-39,-39,-39,-55,-84,-72,-75,-55,-72,-44,-44,-81,-74,-63,-44,-76,-71,-63,-79,-84,-25,-46,-78,-86,-79,-87,,-84,,-81,,,,-82,-82,-80,,,-83,,-56,-81,-84,-78,-79,-87,-84,-85,-87,-81,-78,-80,-83,-83,-81,-78,305,2,22,-71,-78,-85,-60,-80,-88,-85,-80,-86,-84,-78
22,-67,-63,-63,-63,-71,-62,-67,-67,-75,-74,-75,-74,-64,-81,-70,-70,-75,-64,-64,-63,-33,-75,-74,-33,-54,-33,-39,-39,-39,-55,-84,-72,-75,-55,-72,-44,-44,-81,-74,-63,-44,-76,-71,-63,,-84,-25,-46,-78,-86,,-87,,-84,,-81,,,,-82,-82,-80,,,-83,,-56,-81,-84,-78,-79,-87,-84,-85,-87,-81,-78,-80,-83,-83,-81,-78,305,2,23,-71,-78,-85,-60,-80,-88,-85,-80,-86,-84,-78
23,-67,-63,-63,-63,-71,-62,-67,-67,-75,-74,-75,-74,-64,-81,-70,-70,-75,-64,-64,-63,-33,-75,-74,-33,-54,-33,-39,-39,-39,-55,-84,-72,-75,-55,-72,-44,-44,-81,-74,-63,-44,-76,-71,-63,,-84,-25,-46,-78,-86,,-87,,-84,,-81,,,,-82,-82,-80,,,-83,,-56,-81,-84,-78,-79,-87,-84,-85,-87,-81,-78,-80,-83,-83,-81,-78,305,2,24,-71,-78,-85,-60,-80,-88,-85,-80,-86,-84,-78
24,-67,-63,-63,-63,-71,-62,-67,-67,-75,-74,-75,-74,-64,-81,-70,-70,-75,-64,-64,-63,-33,-75,-74,-33,-54,-33,-39,-39,-39,-55,-84,-72,-75,-55,-72,-44,-44,-81,-74,-63,-44,-76,-71,-63,,-84,-25,-46,-78,-86,,-87,,-84,,-81,,,,-82,-82,-80,,,-83,,-56,-81,-84,-78,-79,-87,-84,-85,-87,-81,-78,-80,-83,-83,-81,-78,305,2,25,-71,-78,-85,-60,-80,-88,-85,-80,-86,-84,-78
25,-67,-63,-63,-63,-71,-62,-67,-67,-75,-74,-75,-74,-64,-81,-70,-70,-75,-64,-64,-63,-33,-75,-74,-33,-54,-33,-39,-39,-39,-55,-84,-72,-75,-55,-72,-44,-44,-81,-74,-63,-44,-76,-71,-63,,-84,-25,-46,-78,-86,,-87,,-84,,-81,,,,-82,-82,-80,,,-83,,-56,-81,-84,-78,-79,-87,-84,-85,-87,-81,-78,-80,-83,-83,-81,-78,305,2,26,-71,-78,-85,-60,-80,-88,-85,-80,-86,-84,-78
26,-67,-63,-63,-63,-71,-62,-67,-67,-75,-74,-75,-74,-64,-81,-70,-70,-75,-64,-64,-63,-33,-75,-74,-33,-54,-33,-39,-39,-39,-55,-84,-72,-75,-55,-72,-44,-44,-81,-74,-63,-44,-76,-71,-63,,-84,-25,-46,-78,-86,,-87,,-84,,-81,,,,-82,-82,-80,,,-83,,-56,-81,-84,-78,-79,-87,-84,-85,-87,-81,-78,-80,-83,-83,-81,-78,305,2,27,-71,-78,-85,-60,-80,-88,-85,-80,-86,-84,-78
27,-67,-63,-63,-63,-71,-62,-67,-67,-75,-74,-75,-74,-64,-81,-70,-70,-75,-64,-64,-63,-33,-75,-74,-33,-54,-33,-39,-39,-39,-55,-84,-72,-75,-55,-72,-44,-44,-81,-74,-63,-44,-76,-71,-63,,-84,-25,-46,-78,-86,,-87,,-84,,-81,,,,-82,-82,-80,,,-83,,-56,-81,-84,-78,-79,-87,-84,-85,-87,-81,-78,-80,-83,-83,-81,-78,305,2,28,-71,-78,-85,-60,-80,-88,-85,-80,-86,-84,-78
28,-67,-63,-63,-63,-71,-62,-67,-67,-75,-74,-75,-74,-64,-81,-70,-70,-75,-64,-64,-63,-33,-75,-74,-33,-54,-33,-39,-39,-39,-55,-84,-72,-75,-55,-72,-44,-44,-81,-74,-63,-44,-76,-71,-63,,-84,-25,-46,-78,-86,,-87,,-84,,-81,,,,-82,-82,-80,,,-83,,-56,-81,-84,-78,-79,-87,-84,-85,-87,-81,-78,-80,-83,-83,-81,-78,305,2,29,-71,-78,-85,-60,-80,-88,-85,-80,-86,-84,-78
29,-67,-63,-63,-63,-71,-62,-67,-67,-75,-74,-75,-74,-64,-81,-70,-70,-75,-64,-64,-63,-33,-75,-74,-33,-54,-33,-39,-39,-39,-55,-84,-72,-75,-55,-72,-44,-44,-81,-74,-63,-44,-76,-71,-63,,-84,-25,-46,-78,-86,,-87,,-84,,-81,,,,-82,-82,-80,,,-83,,-56,-81,-84,-78,-79,-87,-84,-85,-87,-81,-78,-80,-83,-83,-81,-78,305,2,30,-71,-78,-85,-60,-80,-88,-85,-80,-86,-84,-78
